,Description,source_name,source_link,event_title,State,District,location_description,Datetime,Triggering factor,fatality_count,injury_count,latitude,longitude,Date,Time,Month,Month_Name
10,"As many as five trains came to a halt on Tuesday following a landslide between Jatog and Kaithlighat railway stations on Kalka-Shimla railway section. The landslide, which was triggered following torrential rains on the track, was noticed by railway.  employees, who immediately Thereafter, railway authorities cancelled the movement of all trains till clearance of the track.    informed the authorities around 1pm.",Hindustan Times,http://www.hindustantimes.com/chandigarh/landslide-hits-train-services-on-kalka-shimla-section/story-C4FiXc6ERCioiTLnS9e8eI.html,"Jatog and Kaithlighat railway stations, Kaithleeghat, Himachal Pradesh",Himachal Pradesh,,"Jatog and Kaithlighat railway stations, Kaithleeghat, Himachal Pradesh",18/09/2012 0:00,downpour,,,31.0226,77.1029,2012-09-18,00:00:00,9.0,Sep
11,"At least twenty one bodies, including those of the Indo-Tibetan Border Police (ITBP) and the Border Roads Organisation (BRO) personnel, have so far been found while eight persons are still missing due to flash flood and landslides in remote areas of North Sikkim, official sources said  The dead include four from the ITBP, two of their family members, and 12 junior officers from the BRO. Other victims were casual labourers, officials said.Most of the casualties are reported from Rangma range.Landslides were caused by heavy rains since September 19, Deputy Commissioner North district T W Khangsherpa said.There were about nine landslides blocking the main road between Chungthang and Mangan in the district, he said.",Hindustan Times,http://www.hindustantimes.com/india/flash-floods-and-landslides-kill-21-in-sikkim/story-4FYliiSqiH1MnwaoLBIUnO.html,"North Skkimm Hwy between, Chungthang and Mangan, North Skimm (9 landslides)",Sikkim,,"North Skkimm Hwy between, Chungthang and Mangan, North Skimm (9 landslides)",19/09/2012 0:00,downpour,20.0,,27.8385,88.556,2012-09-19,00:00:00,9.0,Sep
12,"At least twenty one bodies, including those of the Indo-Tibetan Border Police (ITBP) and the Border Roads Organisation (BRO) personnel, have so far been found while eight persons are still missing due to flash flood and landslides in remote areas of North Sikkim, official sources said  The dead include four from the ITBP, two of their family members, and 12 junior officers from the BRO. Other victims were casual labourers, officials said.Most of the casualties are reported from Rangma range.Landslides were caused by heavy rains since September 19, Deputy Commissioner North district T W Khangsherpa said.There were about nine landslides blocking the main road between Chungthang and Mangan in the district, he said. Several landslides blocked the main roads between Chungthang and Pegong. Houses along Lachen river between Rangma and Chungthang were washed away in flash floods along Lachen river.",Hindustan Times,http://www.hindustantimes.com/india/flash-floods-and-landslides-kill-21-in-sikkim/story-4FYliiSqiH1MnwaoLBIUnO.html," Chungthang and Pegong. Houses, between Rangma and Chungthang ",Sikkim,," Chungthang and Pegong. Houses, between Rangma and Chungthang ",19/09/2012 0:00,downpour,,,27.6558,88.605,2012-09-19,00:00:00,9.0,Sep
13,"Between June 15 and 17th. ""Extensive damage has been done to lives and property due to torrential rains, cloudbursts and landslides between June 15 and 17. Vital road and infrastructure has been destroyed.... A number of bridges have been washed away or irreparably damaged,"" the official said quoting a preliminary report from Uttarakhand. At least 50 major landslides occurred at four stretches -- Rudraprayag-Gaurikund, Rishikesh-Joshimath-Mana, Rishikesh- Dharasu-Gangotri and Pithoragarh-Ghatiabgarh,"" the official said, adding these stretches alone saw 40 major formation breaches. Rishikesh-Joshimath-Mana road, which leads to the famous Badrinath shrine, has been quite seriously affected and ""beyond Joshimath, up to Mana, serious damage has occurred. Two offshoots - Simli-Gwaldham and Joshimath-Malari are closed,"" the official said, adding that as far as Risikesh-Dharasu- Gangotri road was concerned, ""road beyond Dharasu is a major concern."" Rishikesh-Joshimath-Mana road, which leads t",The Indian EXPRESS,http://www.indianexpress.com/news/50-major-landslides-hit-four-road-stretches-in-uttarakhand-govt/1131703/,"Rishikesh-Joshimath-Mana Road, Uttarakhand",Uttaranchal,,"Rishikesh-Joshimath-Mana Road, Uttarakhand",16/06/2013 0:00,rain,0.0,,30.4954,78.3881,2013-06-16,00:00:00,6.0,Jun
14,"Between June 15 and 17th. ""Extensive damage has been done to lives and property due to torrential rains, cloudbursts and landslides between June 15 and 17. Vital road and infrastructure has been destroyed.... A number of bridges have been washed away or irreparably damaged,"" the official said quoting a preliminary report from Uttarakhand. At least 50 major landslides occurred at four stretches -- Rudraprayag-Gaurikund, Rishikesh-Joshimath-Mana, Rishikesh- Dharasu-Gangotri and Pithoragarh-Ghatiabgarh,"" the official said, adding these stretches alone saw 40 major formation breaches. Rishikesh-Joshimath-Mana road, which leads to the famous Badrinath shrine, has been quite seriously affected and ""beyond Joshimath, up to Mana, serious damage has occurred. Two offshoots - Simli-Gwaldham and Joshimath-Malari are closed,"" the official said, adding that as far as Risikesh-Dharasu- Gangotri road was concerned, ""road beyond Dharasu is a major concern.""",The Indian EXPRESS,http://www.indianexpress.com/news/50-major-landslides-hit-four-road-stretches-in-uttarakhand-govt/1131703/,"Dharasu-Gangotri Road, Uttarakhand",Uttaranchal,,"Dharasu-Gangotri Road, Uttarakhand",16/06/2013 0:00,rain,0.0,,30.885,78.6695,2013-06-16,00:00:00,6.0,Jun
15,"Between June 15 and 17th. ""Extensive damage has been done to lives and property due to torrential rains, cloudbursts and landslides between June 15 and 17. Vital road and infrastructure has been destroyed.... A number of bridges have been washed away or irreparably damaged,"" the official said quoting a preliminary report from Uttarakhand. At least 50 major landslides occurred at four stretches -- Rudraprayag-Gaurikund, Rishikesh-Joshimath-Mana, Rishikesh- Dharasu-Gangotri and Pithoragarh-Ghatiabgarh,"" the official said, adding these stretches alone saw 40 major formation breaches. Rishikesh-Joshimath-Mana road, which leads to the famous Badrinath shrine, has been quite seriously affected and ""beyond Joshimath, up to Mana, serious damage has occurred. Two offshoots - Simli-Gwaldham and Joshimath-Malari are closed,"" the official said, adding that as far as Risikesh-Dharasu- Gangotri road was concerned, ""road beyond Dharasu is a major concern."" On Tanakpur-Pithoragarh-Jauljibi-Tawaghat-Gh",The Indian EXPRESS,http://www.indianexpress.com/news/50-major-landslides-hit-four-road-stretches-in-uttarakhand-govt/1131703/,"Pithoragarh-Ghatiabgarh Road, Uttarakhand",Uttaranchal,,"Pithoragarh-Ghatiabgarh Road, Uttarakhand",16/06/2013 0:00,rain,0.0,,29.7986,80.417,2013-06-16,00:00:00,6.0,Jun
16,"The landslides occurred at First Hairpin Bend, Thenpara and Jaram regions of Ghat Road, after the heavy rain received at Nadukani last night. Efforts to clear the block began early morning on Tuesday by forest officials who arrived from Nellikkuthu.",timesofindia.indiatimes.com,http://timesofindia.indiatimes.com/city/kozhikode/Landslide-holds-up-traffic-at-Nadukani-for-hours-none-injured/articleshow/20771153.cms,"Thenpara, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",Tamil Nadu,,"Thenpara, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",25/06/2013 8:00,downpour,0.0,,10.9628,77.5947,2013-06-25,08:00:00,6.0,Jun
17,"The landslides occurred at First Hairpin Bend, Thenpara and Jaram regions of Ghat Road, after the heavy rain received at Nadukani last night. Efforts to clear the block began early morning on Tuesday by forest officials who arrived from Nellikkuthu.",timesofindia.indiatimes.com,http://timesofindia.indiatimes.com/city/kozhikode/Landslide-holds-up-traffic-at-Nadukani-for-hours-none-injured/articleshow/20771153.cms,"Jaram, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",Tamil Nadu,,"Jaram, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",25/06/2013 8:00,downpour,0.0,,10.9628,77.5947,2013-06-25,08:00:00,6.0,Jun
18,Fresh mudslides were reported in some parts of Nagaland affecting the vehicular movements in Nagaland and Manipur. The mudslides had buried some portions of highways 2 and 29 on Tuesday. An 80 metre long breach at NH 2 near Kohima has disrupted all vehicular movements cutting off Manipur. Officials said that most of the debris were cleared by Wednesday night and vehicular movement restored. There will be free flow of traffic unless there is fresh rain.,The Hindu,http://www.thehindu.com/news/national/other-states/fresh-mudslides-affect-traffic-in-nagalandmanipur/article4928261.ece,"National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland",Nagaland,,"National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland",17/07/2013 0:00,rain,0.0,,25.7658,93.9413,2013-07-17,00:00:00,7.0,Jul
19,Fresh mudslides were reported in some parts of Nagaland affecting the vehicular movements in Nagaland and Manipur. The mudslides had buried some portions of highways 2 and 29 on Tuesday. An 80 metre long breach at NH 2 near Kohima has disrupted all vehicular movements cutting off Manipur. Officials said that most of the debris were cleared by Wednesday night and vehicular movement restored. There will be free flow of traffic unless there is fresh rain.,The Hindu,http://www.thehindu.com/news/national/other-states/fresh-mudslides-affect-traffic-in-nagalandmanipur/article4928261.ece,"National Highway 2 Near Meriema Village, 10 Km Away From Kohima",Nagaland,,"National Highway 2 Near Meriema Village, 10 Km Away From Kohima",17/07/2013 0:00,rain,0.0,,25.7131,94.0885,2013-07-17,00:00:00,7.0,Jul
20,Landslides (this is the second) at along Wokha-Merapani Road isolates Wokha from Assam State. Following downpour on night of 7/1.,WebIndia123,https://news.webindia123.com/news/Articles/India/20170703/3137813.html,Landslide along Wokha-Merapani road,Nagaland,,"Wokha Sadar Sub-District, Wokha, Nagaland",01/07/2017 22:00,downpour,0.0,0.0,26.1445447,94.24416766,2017-01-07,22:00:00,1.0,Jan
21,"Incessant rainfall triggers landslide in Panikhaiti, landslide kills girl walking to school. Also damages three houses.",The Tribune,http://www.tribuneindia.com/news/nation/7-year-old-girl-killed-by-landslide-at-guwahati/431122.html,Landslide in Panikhaiti kills girl,Assam,,"Panikhaiti, Kamrup Metropolitan, Assam State, India",03/07/2017 7:00,continuous_rain,1.0,0.0,26.20450454,91.87202793,2017-03-07,07:00:00,3.0,Mar
22,"In Mokokchung, a massive landslide near Unger village along NH-2 has paralyzed all vehicular movement. When contacted, Deputy Commissioner (DC) Mokokchung, Sushil Kumar Patel told Nagaland Post that the district administration had already instructed the concerned officers from the National Highway Division to take up restoration work at the earliest.",Nagaland Post,http://www.nagalandpost.com/ChannelNews/State/StateNews.aspx?news=TkVXUzEwMDEwMjA2OQ%3D%3D,Landslide in Nagaland,Nagaland,,"Mokochung, Nagaland, India",05/09/2016 0:00,rain,0.0,0.0,26.324724,94.514651,2016-05-09,00:00:00,5.0,May
23,"NH-2 blocked around .5 km towards Imphal from Mao gate. Traffic movement initially restricted, then banned by district until 14:00 on 7/5. Following heavy rains.",Imphal Free Press,http://www.ifp.co.in/item/1610-landslide-at-mao-gate,Landslide blocks road,Manipur,,"AH1, Mao-Maram, Senapati, Manipur, 795150",04/07/2017 0:00,continuous_rain,0.0,0.0,25.4976444,94.12901274,2017-04-07,00:00:00,4.0,Apr
24,"n Wokha, the District Disaster Management Agency (DDMA) has cleared massive landslide on Wokha-Merapani road that occurred in the wee hours of Monday some 10 kms from Wokha. The landslide blocked all traffic along the Wokha-Merapani state highway, the district’s lifeline.",Nagaland Post,http://www.nagalandpost.com/ChannelNews/State/StateNews.aspx?news=TkVXUzEwMDEwMjA2OQ%3D%3D,Landslide in Wokha-Merapani Road,Nagaland,,"Wokha, India",05/09/2016 0:00,rain,0.0,0.0,26.092493,94.257523,2016-05-09,00:00:00,5.0,May
25,"Landslide kills one man in Chandrapur, Assam State during incessant rains that caused, floods, and landslides throughout the state.",Hindustan Times,http://www.hindustantimes.com/india-news/two-more-killed-in-assam-floods-more-than-3-5-lakh-people-affected/story-MmZHSSifUM78Jhd7l8lEzJ.html,Fatal landslide in Chandrapur,Assam,,"Chandrapur, Kamrup Metropolitan, Assam",03/07/2017 0:00,continuous_rain,1.0,0.0,26.22247247,91.92053028,2017-03-07,00:00:00,3.0,Mar
26,"Article very sparse on details. One of two landslides besides the one at the police station to hit Jorabat on about 7/3, following heavy rain on Sunday 7/2.",The Assam Tribune,http://www.assamtribune.com/scripts/detailsnew.asp?id=jul0417/city055,Landslide hits Jorabat,Assam,,"Jorabat, Assam State, India",03/07/2017 0:00,downpour,0.0,0.0,26.1061808,91.85158907,2017-03-07,00:00:00,3.0,Mar
27,"Article very sparse on details. One of two landslides besides the one at the police station to hit Jorabat on about 7/3, following heavy rain on Sunday 7/2.",The Assam Tribune,http://www.assamtribune.com/scripts/detailsnew.asp?id=jul0417/city055,Landslide hits Jorabat,Assam,,"Sonapur, Kamrup Metropolitan, Assam",03/07/2017 0:00,downpour,0.0,0.0,26.10430759,91.86227824,2017-03-07,00:00:00,3.0,Mar
28,"Four persons were buried alive while five others suffered injuries when boulders fell on their vehicle at Manihar village in the Garsa valley.The deceased have been identified as Laxman (38), Nanda from Jharkhand, Khem Raj (50) from Nepal, while Sugrin Gupta (29) from Bihar is still trapped under the debris.",Tribune India,http://www.tribuneindia.com/news/himachal/four-buried-alive-five-hurt-in-landslide-at-kullu-village/289325.html,Landslide in Kullu,Himachal Pradesh,,"Manihar Village, Kullu, India",02/09/2016 0:00,unknown,4.0,5.0,31.956546000000003,77.109719,2016-02-09,00:00:00,2.0,Feb
29,Landslide after rains that cause flooding throughout Daporijo wash away a dwelling,The Arunachal Times,http://www.arunachaltimes.in/landslide-washes-away-house-in-daporijo/,Landslide in Daporijo,Arunachal Pradesh,,"Abotani Colony, Daporijo Township, Arunachal Pradesh, India",04/07/2017 22:00,rain,0.0,0.0,27.98531715,94.21263589,2017-04-07,22:00:00,4.0,Apr
30,Landslides at along Wokha-Merapani Road isolates Wokha from Assam State. Following downpour on night of 7/1.,WebIndia123,https://news.webindia123.com/news/Articles/India/20170703/3137813.html,Landslides blocks Wokha-Merapani Road,Nagaland,,"Wokha Sadar Sub-District, Wokha, Nagaland",01/07/2017 22:00,continuous_rain,0.0,0.0,26.11613908,94.24222574,2017-01-07,22:00:00,1.0,Jan
31,Landslide after rains that cause flooding throughout Daporijo severely damage Daporijo-Dumporjio road,The Arunachal Times,http://www.arunachaltimes.in/landslide-washes-away-house-in-daporijo/,Landslide along Daporijo-Dumporijo road,Arunachal Pradesh,,"Daporijo-Dumporijo road, Arunachal Pradesh, India",04/07/2017 22:00,rain,0.0,0.0,27.97875751,94.26296826,2017-04-07,22:00:00,4.0,Apr
32,"Landslide blocks NH-55 near Kurseong, West Bengal. Large rock appears to have damaged a car (see attached photo.) From the article: Kurseong has witnessed 128.2mm rainfall in the last 24 hours. Since July 1 to July 4th, the cumulative rainfall in Kurseong is 250.2mm. Met offices predict heavy rainfall in the next 24 hours.",Times-Mumbai,http://www.times-mumbai.com/landslide-blocks-national-highway-55-in-darjeeling-hills/,Landslide blocks NH-55,West Bengal,,"Kurseong, Darjeeling, West Bengal, India",05/07/2017 0:00,continuous_rain,0.0,0.0,26.90298048,88.29518925,2017-05-07,00:00:00,5.0,May
33,Landslide on Aizawl-Champhai road between Seling and Tuirini (believed to be the Tuirini River). Initial research suggests that geological activity along a fault is responsible for the landslide.,Zoram Observer,https://www.zoramobserver.com/mizoram/aizawl-champhai-road-cut-off-by-strange-landslide/,Landslide damages road,Mizoram,,"Aizawl, Mizoram State, India",28/06/2017 0:00,other,0.0,0.0,23.69461107,92.87641207,2017-06-28,00:00:00,6.0,Jun
34,Landslide following a downpour blocks two approach roads to Fazl Ali College,WebIndia123,https://news.webindia123.com/news/Articles/India/20170703/3137813.html,Landslide blocks roads,Nagaland,,"Chuchuyimpang, Mokokchung, Nagaland",01/07/2017 22:00,downpour,0.0,0.0,26.3312531,94.55427723,2017-01-07,22:00:00,1.0,Jan
35,"Landslide causes water pipe to break, boulders obstruct road. Article: ""North Bengal, along with the hills, has been experiencing constant, heavy showers ever since monsoon made its way to the region. The water levels of the rivers have been rising and the hills are being bothered by regular landslides.""",Siliguri Times,http://siliguritimes.com/landslide-alubari-near-darjeeling/,"Landslide obstructs road, breaks water pipe",West Bengal,,"Alubari, Darjeeling, West Bengal, India",06/07/2017 20:00,continuous_rain,0.0,0.0,27.02149311,88.25902123,2017-06-07,20:00:00,6.0,Jun
36,"A major valley-blocking landslide at Dzongu in Sikkim, northern India. The landslide, which is large, has blocked the Kanaka River completely, and a lake has started to build behind it.",AGU Blog,http://blogs.agu.org/landslideblog/2016/08/13/dzongu-1/,Landslide in Dzongu,Sikkim,,"Dzongu, Sikkim, India",16/08/2016 0:00,rain,0.0,0.0,27.593000000000004,88.492,2016-08-16,00:00:00,8.0,Aug
37,"Landslide hits house, killing one",Arunachal Times,http://www.arunachaltimes.in/akddsu-mourns-students-death/,Landslide in Chimpu,Arunachal Pradesh,,,19/06/2017 4:00,unknown,1.0,,27.06992579,93.6146564,2017-06-19,04:00:00,6.0,Jun
38,Rain causes landslide on Srinagar-Leh highway,Greater Kashmir,http://www.greaterkashmir.com/news/kashmir/landslides-cleared-srinagar-leh-highway-re-opens-for-traffic/251494.html,Landslide near Zojila,Jammu and Kashmir,,"Zojila area, between Sonarmarg and Meenmarg",05/06/2017 20:00,rain,0.0,0.0,34.27703802,75.46743478,2017-05-06,20:00:00,5.0,May
39,Rainfall coupled with illegal mining causes rockfall in quarry,The Hindu,http://www.thehindu.com/news/cities/Vijayawada/negligence-claimed-six-lives-at-phirangipuram-quarry/article18622052.ece,Rockfall in quarry in Phirangipuram,Andhra Pradesh,,Quarry at Phirangipuram village in Guntur,27/05/2017 0:00,rain,6.0,1.0,16.28332586,80.26097734,2017-05-27,00:00:00,5.0,May
40,"1 man died after being hit by rocks and debris following a landslide in Munsyari area of Pithoragarh district. Incessant rains have caused the water levels of most rivers to rise. However, the Ganga river is flowing around one metre below the danger mark at both Haridwar and Rishikesh.",Siasat Daily,http://www.siasat.com/news/one-killed-landslide-uttarakhand-1000019/,Landslide in Munsyari,Uttaranchal,,"Munsyari, Pithoragarh, Uttarakhand, India",10/08/2016 20:00,continuous_rain,1.0,0.0,30.070512,80.237218,2016-10-08,20:00:00,10.0,Oct
41,"Road blocked by landslide after heavy rain, maiden journel of Pherzawl Express bus service interrupted",Zoram Observer,https://www.zoramobserver.com/manipur/landslide-cuts-off-8-manipur-villages-in-pherzawl-district-for-5-days-now/,Landslide blocks NH-2 between Pherzawl and Bukpi,Manipur,,"NH-2, Pherzawl District, Manipur State, India",26/06/2017 0:00,downpour,0.0,0.0,24.21988831,93.20266204,2017-06-26,00:00:00,6.0,Jun
42,"Trees and boulders fell onto highway, cutting off traffic for two hours",ZeeNews India,http://zeenews.india.com/tamil-nadu/landslip-results-in-traffic-disruption-for-two-hours-2011036.html,Landslide near Coonooer,Tamil Nadu,,Coonoor-Mettupalyam road near Kallar,01/06/2017 10:00,rain,0.0,0.0,11.34165808,76.8694278,2017-01-06,10:00:00,1.0,Jan
43,Landslide and mudslide close highway,Indian Express,http://www.arunachaltimes.in/wp-content/uploads/2017/06/Landslide-disrupts-water-supply-again.jpg,Landslides in Jammu and Kashmir - Panthiyal,Jammu and Kashmir,,Panthiyal village area,21/06/2017 0:00,rain,0.0,0.0,32.628029999999995,75.37123000000003,2017-06-21,00:00:00,6.0,Jun
44,Large amounts of rain cause landslide in Barak Valley region,NELive,http://www.nelive.in/assam/news/assam-flood-landslide-disrupts-rail-connectivity-barak-valley-over-13000-affected-due,"Flood, Landslide in Assam",Assam,,Dima Hasao district,04/06/2017 0:00,continuous_rain,,,25.15246863,92.94670614,2017-04-06,00:00:00,4.0,Apr
45,Landslide blocks another section of NH 2 between Damdiei and Pherzawl after heavy rains,Zoram Observer,https://www.zoramobserver.com/manipur/landslide-cuts-off-8-manipur-villages-in-pherzawl-district-for-5-days-now/,Landslide cuts off NH 2,Manipur,,"NH 2, Manipur State, India",27/06/2017 0:00,downpour,0.0,0.0,24.30415689,93.18182448,2017-06-27,00:00:00,6.0,Jun
