,Description,Date,location_description,Latitude,Longitude,Pin code
14,"2
 
| 
C
ompiled by 
GSI
 
 
As per media report, landslides triggered by overnight rains claimed two lives in Baramulla district 
while at least seven others were feared dead after a house collapsed in Doda district of Jammu an
d 
Kashmir. ",,"Jammu, Jammu District, Jammu and Kashmir, 180001, India",32.7185614,74.8580917,180001
15,"Landslide incidence in Assam 

 
20 February 2015
 
 
As per media report, two labourers died while land cutting of a hillock at Monachhera area and 
another was injured in a landslide in Assam's Hailakandi district. ",20-02-2015,.,0,0,
16,"Landslide incidence in 
Jammu & Kashmir 

 
26 February 2015
 
 
As per media report, two people were killed while two others were seriously injured when the 
vehicle they were travelling in was hit by a landslide on the Jammu
-
 
Srinagar national highway. 
 
 
 
   
 
 
Landslide Incidences
 
For the Year 2014
 
 
 ",26-02-2015,"Srinagar, Srinagar (South), Srinagar District, Jammu and Kashmir, 190008, India",34.0747444,74.8204443,190008
17,"Landslide incidence in Himachal Pradesh 

 
15 October 2014
 
 
As per media report, two people were killed in a mining landslide in Himachal Pradesh's Solan 
district. ",15-10-2014,"Solan, Himachal Pradesh, India",30.92589585,77.08200509,
18,"Landslide incidence in Meghalaya 

 
30 September 2014
 
 
As 
per media report, the Garo Hills region has witnessed flash floods and landslides which resulted 
in numerous casualties. ",30-09-2014,.,0,0,
19,"Landslide incidence in Meghalaya 

 
23 September 2014
 
 
As per media report, eight persons including a pregnant woman were buried a
live under the debris 
after a massive landslide occurred in Mawbah under Mawprem area in Meghalaya's East Khasi Hills 
District. ",23-09-2014,.,0,0,
20,"Landslide incidence in Himachal Pradesh 

 
26 August 2014
 
 
As per media report, two members of a family were killed and thr
ee others injured when boulders 
fell on their houses in village near Bhavanagar, Himachal Pradesh`s Kinnaur district. The rock fall 
was triggered due to rainfall. ",26-08-2014,.,0,0,
21,"Landslide incidence in Maharastra 

 
30 July 2014
 
 
The landslide occurred on July 30, 20
14, in a village in Malin in the Ambegaon taluk of Pune district. 
The landslide occurred due to heavy rainfall and around 151 people died. GSI carried out details 
investigation of the landslide. 
 
 
 
   
 
 
Landslide Incidences For the Year 2013
 
 
 ",30-07-2014,.,0,0,
22,"Lands
lide incidence in Uttarakhand 

 
16
-
17 June 2013
 
 
The landslide took place on June 16, 2013 and was the result of Uttarakhand floods. Over 5700 were 
reported dead and over 4,200 villages had been affected by the floods and post
-
 
floods landslide. 
GSI prepa
red detailed inventory of all major landslides in Pithoragarh, Bageshwar, Rudraprayag, 
Chamoli and Uttarkashi districts. 
 
 
",17-06-2013,.,0,0,
23,"1
 
| 
C
ompiled by 
GSI
 
 
Landslide Incidences
 
for the Year 20
09
 
 ",,.,0,0,
24,"Landslide incidence in Jammu and Kashmir 12th December 2009
 
 
As 
per media report (PTI) a landslide occurred on the evening of 12th December, 2009 near the Line 
of Control at Nag Post, Keran Sector, Kupwara district, Jammu & Kashmir. A Border Security Force 
porter was feared killed in the landslide. ",12-12-2009,"Jammu, Jammu District, Jammu and Kashmir, 180001, India",32.7185614,74.8580917,180001
25,"Landslide incid
ence in Himachal Pradesh 
-
 
16th November 2009
 
 
As per media report continuous rainfall during the last two days have triggered number of 
landslides on the Chamba
-
Jot road, Himachal Pradesh on 16th November 2009. The road was closed 
for traffic for about f
our hours. ",16-11-2009,"La Chamba, Montbrison, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42440, France",45.7556472,3.7577075,
26,"Landslide Incidence in Tamilnadu 
-
 
10th November 2009
 
 
As per media report a landslide triggered by torrential rain occurred in the Ooty region of Tamilnadu 
killing at least 39 people on 10th November 2009. The landslide demolished nearly 
300 tinned roof 
mud huts. 
Ketti and its suburbs, about 7 km away from Ooty, received record rainfall of 820mm in 
24 ho
urs while Ooty recorded 170mm. 
Many parts of the Nilgiris continued to remain cut off on 
Wednesday (11t
h Nov. 2009) due to landslips.  
As
 
per another media report as many as 543 landslips 
has occured in just two days (10
-
11) in the Nilgiris, and 816 houses razed to debris. Besides, 600 
hectares of crops has been devastated and road revetments damaged in 145 places. Above all, 43 
precious li
ves lost and over 1,100 people has been left homeless. ",10-11-2009,"Udhagamandalam, Goodshed Road, Udhagamandalam, The Nilgiris District, Tamil Nadu, 643001, India",11.4051694,76.6963387,643001
27,"Landslide incidences in Tamil Nadu 
-
 
8th November 2009
 
 
As per media report, five members of a family were killed at Manthada, Nilgiri District on the Ooty
-
Coonoor national highway in a landslip 
on 8th November, 2009. The Ooty
-
Coonoor
-
Mettupalayam 
road beyond the Lovedale junction and near Ketti was severely affected by landslips. Traffic was 
diverted via Kotagiri. In the 24
-
hour period ending 8.30 a.m. on Monday the 9th November, 2009, 
Coonoor re
corded 363 mm of rainfall; Avalanchi 193, Kotagiri 168, Ooty 126, Ketti 125, Emerald 112, 
Kundah 99, Geddhai 81 and Glenmorgan 43 mm of rainfall. ",08-11-2009,"Fortune Resort Sullivan Court, Ooty, Ooty-Coonoor-Mettupalayam- Road, Pony Needle Industry Yellanalli, Udhagamandalam, Coonoor, The Nilgiris District, Tamil Nadu, 643001, India",11.40768035,76.71110509,643001
28,"Landslide incidence in Karnataka 
-
 
26th October 2009
 
 
As per media report a construction worker was kill
ed and two others were injured after a landslip 
in the construction site at Ujjire of Belthangady taluk, Karnataka on 26th October 2009. ",26-10-2009,.,0,0,
29,"Landslide incidences in Uttarakhand 
-
 
6th October 2009
 
 
As 
per media report a big group of tourists is stranded due to blocking of highway caused by 
landslides on 6th October 2009, between Pithoragarh and Lohaghat in Uttarakhand. The landslides 
occurred near Till Ghat some 35 km from Lohaghat. ",06-10-2009,.,0,0,
30,"Landslide incid
ence in Kerala 
-
 
3rd October 2009
 
 

half a dozen places on 3rd October, 2009. ",03-10-2009,.,0,0,
31,"Landslide incidence in Karnataka 
-
 
2nd October 2009
 
 
As per media repor
t landslide triggered by heavy rains occurred on the afternoon of 2nd October 
2009 in Madibagh near Kadwad village of Karwar taluk, Uttara Kannada district, due to which 24 
people were buried alive when nine houses collapsed. As per the same report the Nat
ional Highway 
17 between Karwar and Ankola has also been blocked completely due to the many landslides that 
occurred on the stretch on 2nd 
-
 
3rd October. ",01-10-2009,"Karwar, Kaiga Road, Bandishetta, Shirwad, Karwar taluk, Uttara Kannada, Karnataka, 581300, India",14.8202478,74.1825906,581300
32,"Landslide incidence in Goa 
-
 
2nd October 2009
 
 
As per media report the services on Konkan railwa
y route were severely affected today due to 
landslide triggered by heavy rains in the southern village of Canacona in Goa on 2nd October 2009 ",01-10-2009,"Goa, San Jose Street, Goa, Camarines Sur, Bicol Region, 4423, Visayas",13.6982559,123.4893349,
33,"Landslide incidence in Himachal Pradesh 
-
 
22nd September 2009
 
 
As 
per media report nearly 150 tourists were stranded for a week in Himachal Pradesh's Spiti Valley 
since 10th September due to snowfall and landslides. The tourists wre stranded at Kaza town in 
Lahaul and Spiti district after the snows and landslips caused c
losure of the roads linking Kaza to 
Manali and Shimla towns. ",01-09-2009,.,0,0,
34,"Landslide incidence in Uttarakhand 
-
 
8th September 2009
 
 
As per media report (PTI) three persons were killed and five others injured in landslides as heavy 
rains lashed Uttarakhand. The mis
hap occurred when boulders fell on two vehicles passing through 
Chhara
-
Lohari road following heavy rains in Almora district on the evening 8th September 2009. ",08-09-2009,.,0,0,
35,"Landslide incidence in Himachal Pradesh 
-
 
9
-
10th September 2009
 
 
",10-09-2009,.,0,0,
36,"2
 
| 
C
ompiled by 
GSI
 
 
As per media (PTI) report 
the Chandigarh
-
Manali highway has been closed at various places 
between Bilaspur and Mandi towns since the night of 9th September 2009, due to landslides 
triggered by uninterrupted rain in the region for the preceding two days. As per media report of 
10th 
September the Hindustan Tibet Road was disrupted at four different points due to landslides 
as heavy boulders slid down on it in three different places between Rekong
-
peo and Korick. The 
traffic to Rampur was being diverted via Basantpur and Kingal. As per
 
the same report the tribal 
Kinnaur district was cut off by road due to road blockades at Jhakri, Pooh, Malling Nallah and scores 
of vehicles were stranded at various places In Shimla district, the state highway Theog
-
Rohru was 
closed near Chhaila as big l
andslides disrupted vehicular traffic. The entire district has received 
heavy rainfall since the last 24 hours. ",09-09-2009,.,0,0,
37,"Landslide incidence in Uttarakhand 
-
 
10th September 2009
 
 
As per media (PTI) report of 10th September pilgrims and tourists became strande
d after 11 roads, 
including the Gaurikund
-
Kedarnath road, were closed following landslide. Landslides occurred at 
several places en route Badrinath, Kedarnath, Gangotri and Yamunotri shrines in Uttarkashi, leadi
ng 
to suspension of the Yatra. 
Falling of b
oulders from the hills due to the heavy rains in Narendranagar 
town of Tehri district was also reported. ",10-09-2009,.,0,0,
38,"Landslide Incidence in Uttarakhand 
-
 
5th September 2009
 
 
As per media report slope failure triggered by heavy rainfall at Gorshila near 
Hanuman Chatti on the 
Rishikesh 

 
Badrinath National Highway on the night of 5th September 2009 has led to the traffic 
disruption for seven hours on 6th September on this important pilgrim route. ",05-09-2009,.,0,0,
39,"Landslide Incidence in Maharashtra 
-
 
3rd September 2009
 
 
As per media report (PTI) 12 people were killed and 13 others injured in landslides triggered by heavy 
rains in suburban Andheri, Mumbai. The landslides hit LBS nagar at Sakinaka on the night of 3rd 
September 2009, damaging around 15
-
20 houses. ",03-09-2009,"Mumbai, Mumbai Suburban, Maharashtra, India",19.0759899,72.8773928,
40,"Lan
dslide incidence in Uttarakhand 
-
 
2nd September, 2009
 
 
As per media (PTI) report three people were killed in two separate landslide incidences triggered 
by heavy rains at Chinona area in Almora district, Uttarakhand on 2nd September 2009. ",01-09-2009,.,0,0,
41,"Landslide i
ncidences in Assam 

 
28th August 2009
 
 
As per media report train services were disrupted on the 184
-
km metre gauge track from Lumding 
to Badarpur in south Assam since Aug 20 following extensive landslides in North Cachar Hills district. 
The landslides, tr
iggered by torrential rains, took place between Mahur and Phaiding railway 
stations. The landslides and rockslips damaged the tracks extensively and a 100
-
metre stretch of 
track between Mahur and Phaiding is completely covered by mud and soil. Supply of es
sential items, 
including food grains, was badly hit in the States of Tripura, Mizoram, Manipur and parts of Assam. ",28-08-2009,.,0,0,
42,"Landslide incidences in Uttarakhand 

 
28th August 2009
 
 
As per media report of 28th August 2009, a person was killed in a rock fall at 
the road construction 
site between Darkot and Dhapa, Munsiari Tehsi, Pitoragarh District, Uttarakhand. ",28-08-2009,.,0,0,
43,"Landslide in West Bengal 

 
20th August 2009
 
 
As per media (PTI) report three persons were killed in the Darjeeling hills on 20/8/2009 in landslides
 
triggered by heavy rainfall since the night 19/8/2009. Two residents of Tarsing Busty in Mirik, were 
buried in the landslide debris. One four
-
years
-
old child of Geetkolbong in Kalimpong sub
-
division 
was killed by the landslide in that area. Fifty houses h
ave been wrecked and another 70 were 
partially damaged in the Kurseong sub
-
division. ",20-08-2009,.,0,0,
44,"Landslide in Sikkim 
-
 
20th August 2009 
 
Two persons were killed and 10 others were injured following a series of landslides on 20/8/2009 
triggered by incessant rains
 
in Sombaria and Daramdin in west Sikkim since 19th night. Sikkim was 
cut off for few hours on 20th after the National Highway 31A was blocked following a landslide 
between Sevoke and Rambi near Siliguri. ",20-08-2009,.,0,0,
45,"Landslide in Meghalaya 
-
 
20th August 2009 
 
As
 
per media report surface communication between lower and upper Assam and Meghalaya was 
disrupted since 6 am of 20th August 2009 as the NH
-
37 was blocked by landslide triggered by heavy 
rains between Jorabat and Sonapur ",20-08-2009,.,0,0,
46,"Landslides in Uttarakhand 
-
 
19t
h August 
 
As per media (PTI) report a series of landslides on 19th August 2009, triggered by incessant rains 
have blocked the highways connecting Pithoragarh and Champawat districts to the rest of the 
country. ",01-08-2021,.,0,0,
47,"Landslides in Uttarakhand 
-
 
17th August 
 
",,.,0,0,
48,"3
 
| 
C
ompiled by 
GSI
 
 
As per media (PTI) report two persons were killed as a tree uprooted by landslides fell on them in 
Champawat district on 17th August, 2009. The landslide occurred at Purnagiri area of Champawat 
district. As per another media report one person was killed 
on the same day by rock fall on the 
eastern hillside road of Rupsiabgarh, between Malla Johar and Munsiyari, Pithoragarh District. 
 
 ",17-08-2009,.,0,0,
49,"Rock fall in Himachal Pradesh 
-
 
16th August 2009
 
 
As per media report rock fall during continuous rain on a bus carr
ying pilgrims returning from 
Manimahesh has led to the death of one person and has seriously injured seven others. The incident 
occurred on 16th August 2009 near Dunali on the road from Bharmor to Dharmashala, near Chamba.
 
 ",16-08-2009,"La Chamba, Montbrison, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42440, France",45.7556472,3.7577075,
50,"Landslide in Darjeeling, W
est Bengal 
-
 
16th August 2009
 
 
As per media (PTI) report six people were killed on 16th August 2009 and many others injured in a 
series of landslides in Darjeeling, leading to blockade of main road link (NH
-
55) between Siliguri and 
Darjeeling. Five person
s were killed and over 500 houses damaged in landslide in Kurseong sub
-
division. Three persons died when their house collapsed during a landslide at Gauri Shankar tea 
garden and another two persons lost their lives in a landslide at lower Sirubari and Malu
tar tea 
garden. In Kalimpong a three
-
year old boy was killed and his parents injured as their house collapsed 
during landslide. 
 
 ",16-08-2009,.,0,0,
51,"Landslide incidences in Uttarakhand, 8th August 2009 
 
As per media report at least forty
-
six people were killed in a la
ndslide triggered by heavy rains in 
Pithoragarh District, Uttarakhand on 8th August 2009. Three villages viz. Chachna, Lah and 
Rumiadola were swept away in the landslide following heavy rains in Munshiyari block on Saturday. 
 
 ",08-08-2009,.,0,0,
52,"Landslide incidences in
 
Himachal Pradesh, 7th August 2009
 
 
As per media report (7th August 2009) a massive landslide killed two persons in Himachal Pradesh. 
The two were buried alive in the landside at Kumarda on the Mandi
-
Dharampur highway that 
remained closed for traffic till
 
late evening of 7th August. The landslide destroyed three houses, 
three cowsheds, and washed away 10 animals and a private bus. 
 
 ",07-08-2009,"Narsanda Haat (Sabzi Mandi), NH27 Frontage Road, Narsanda Chowk, Narsanda, Kanti, Muzaffarpur, Bihar, 843109, India",26.1927595,85.3185683,843109
53,"Landslide incidence Himachal Pradesh
 
 
As 
per media report (Times of India) of 2nd August, 2009 a landslide has occurred at Rangrik village 
in Lahaul and Spiti in Himachal Pradesh. The event was accompanied by gushing out of water and 
sounds akin to an explosion. 
 
 ",01-08-2009,.,0,0,
54,"Landslide incidences in Ja
mmu & Kashmir
 
 
As per PTI report a woman pilgrim was killed and two others were injured in a landslide en route to 
the Vaishnodevi cave shrine in Reasi district of Jammu and Kashmir. The three pilgrims were buried 
in the debris when the landslide occurred
 
at Himkote on the night of 29th July, 2009. The old route 
to the cave shrine has been closed due to the landslide. 
 
As per media report (PTI) a labourer was killed and two others were injured in a landslide in Kishtwar 
district of Jammu and Kashmir on 2nd
 
August, 2009. The three villagers, who were working as 
labourers, were buried in the debris when the landslide occurred during construction of a road at 
Atholi area, 292 kms from Jammu. 
 
 
 
 ",29-07-2009,"Jammu, Jammu District, Jammu and Kashmir, 180001, India",32.7185614,74.8580917,180001
55,"Landslide incidence in Sikkim
 
 
As per media report (The S
tatesman) torrential overnight rains have triggered a mudslide along the 
Jawaharlal Nehru (JN) Marg stretch at 17th Mile near Kyongsala, Sikkim rendering Nathula border, 
Changu lake and Baba Mandir inaccessible. The road leading to the above tourism spots 
is reported 
to have been completely washed near Mandakini Falls during the landslides, which occurred in the 
early hours on Saturday, the 1st of August 2009. The landslide also claimed the life of a Border Roads 
Organisation (BRO) labourer working as a mac
hine man. ",01-08-2009,.,0,0,
56,"Landslide incidence in Arunachal Pradesh
 
 
As per media report (PTI) torrential rains since July 27, 2009 caused landslides which breached the 
Balipara
-
Tawang Road to Sino
-
India border in Arunachal Pradesh. The road was cut off on July 30, 
2
009. 
 
 ",27-07-2009,.,0,0,
57,"Landslide incidences in Uttarakhand, 26th July 2009
 
 
As per media report two labourers were killed and 4 injured in a landslide behind the under 
construction fire brigade station near zero band on Ghigran motorable 
road at Gopeshwar, Chamoli 
district, Uttarakhand. The incident occurred on Sunday the 26th July 2009 after heavy rains. 
 
",26-07-2009,.,0,0,
58,"4
 
| 
C
ompiled by 
GSI
 
 
In another incident on the same day at Jumma on Joshimath Malari road, three persons of a family 
working for Border Road Organisation (
BRO) died in a landslide. 
 
 ",,.,0,0,
59,"Landslide incidence in Syara village, Pithoragarh district
 
 
As per media (PTI) report there has been a landslide triggered by heavy rains in Syara village, 
Pithoragarh district on 21st July 2009. Three members of a family
 
were killed and one woman injured 
when their house collapsed following the landslide. 
 
 
",21-07-2009,.,0,0,
60,"1
 
| 
C
ompiled by 
GSI
 
 
Landslide Incidences for the year 2010
 ",,.,0,0,
61,"Landslide incidence in Meghalaya 
-
 
28th June, 2010 
 
As per media report a girl was killed and at least seven others were injured on 28th June 2010 in a 
",28-06-2010,.,0,0,
62,"Landslide incidence in Karnataka 
-
 
26th June 2010
 
 
As per media report heavy rain that lashed the region caused landslides at two spots between Padil 
and Thokur junction, 10 km from Mangalore railway station, 
Karnataka on 26th June 2010. Many 
trains that regularly run along the route had to be either diverted or cancelled due to the landslide. 
As per media report, landslide near Kulshekhar in Mangalore, Karnataka city again blocked the 
railway tracks on June 27
, 2010. Train traffic was suspended again till 30th June.",26-06-2010,"Mangalore, Shire of Strathbogie, Victoria, 3663, Australia",-36.9368277,145.1741248,
63,"Landslide incidence in Maharashtra 
-
 
25th June 2010 
 
As per media report five houses were damaged in a landslide triggered by heavy rainfall in 
Valmikinagar, Kurla, Mumbai on 25th June 2010.",25-06-2010,"Mumbai, Mumbai Suburban, Maharashtra, India",19.0759899,72.8773928,
64,"Landslide incidence in Maharashtra 
-
 
19th June, 2010 
 
As per PTI report a landslide at Harnai, 180 kms from Ratnagiri, Maharashtra at 2 am on 19th June, 
2010 buried two houses killing eight persons. Heavy rains triggered the landslide.",19-06-2010,"Ratnagiri, Maharashtra, India",17.2826079,73.4569787,
65,"Landslide inc
idence in Assam 
-
 
16th June, 2010
 
 
As per media report landslides on 16th June, 2010 between Jatinga and Longrangjao as well as 
Mahur and Wadringdisa in Assam's North Cachar Hills district have disrupted train services. ",16-06-2010,.,0,0,
66,"Landslide incidence in West Be
ngal 
-
 
16th June, 2010
 
 
As per media report a landslide on 16th June 2010 in the Kurseong sub
-
division of Darjeeling district, 
triggered by overnight rains, completely destroyed a 21
-
metre length of the National Highway 55 
besides partially damaging anoth
er 22
-
metre stretch. The landslide have resulted in disruption of 
supply lines between Siliguri and Darjeeling districts of West Bengal and the suspension of the toy 
train services between Kurseong and New Jalpaiguri due to the damage of the narrow gauge t
racks 
between Rongtong and Tindharia. ",16-06-2010,.,0,0,
67,"Landslide incidence in Sikkim 
-
 
16th June, 2010
 
 
As per media report a landslide at Pegong, 80km from Gangtok on 16th June 2010 have led to the 
shut down of the road to Lachung in North Sikkim.",16-06-2010,"Gangtok, East Sikkim District, Sikkim, 737101, India",27.329046,88.6122673,737101
68,"Landslide inci
dence in West Bengal 
-
 
16th June,2010
 
 
As per media report a landslide on 16th June 2010 on the Tripi road of Upper Gumfa area in 
Kalimpong Darjeeling district, led to the death of three people and serious injured two others. ",16-06-2010,.,0,0,
69,"Landslide incidence in West Bengal 
-
 
11th June, 2010
 
 
As per media report Sikkim was cut off from West Bengal after landslides blocked National Highway 
31 A on 11th June 2010. The landslides occurred at Hatisura under Kurseong police station, West 
Bengal.
 ",11-06-2010,.,0,0,
70,"Landslide Incidence in Uttarakhand 
-
 
9th June, 2010
 
 
As per media report landslide on 9th June, 2010 near Kempty falls, Mussoorie, Uttarakhand 
damaged four vehicles including a bus. ",09-06-2010,"Mussoorie, Dehradun, 248179, India",30.4569012,78.0782906,248179
71,"Landslide Incidence in Himachal Pradesh 
-
 
9th June, 2010
 
 
As 
per media report landslides on 9th June 2010 triggered by torrential rains were reported from 
several parts of the Shimla district, Himachal Pradesh, resulting in road blocks. Shimla recorded 61.8 
mm rainfall. ",09-06-2010,"Shimla, Shimla (urban), Shimla, Himachal Pradesh, 171001, India",31.1041526,77.1709729,171001
72,"Landslide Incidence in Maharashtra 
-
 
8th 
June, 2010
 
 
As per media report a landslide on the morning of 8th June 2010 at Kamraj Nagar slum at Sion
-
Koliwada, Antop Hill, Mumbai led to the collapse of a compound wall that killed two girls and a le
ft 
a woman critically injured. 
In another incident 
at Bhandup, Mumbai in Khindipada area, near the 
BMC pipeline at Bhandup
-
west two children were severely injured after being buried under a 
landslide on 8th June, 2010 ",01-06-2010,"Mumbai, Mumbai Suburban, Maharashtra, India",19.0759899,72.8773928,
73,"Landslide Incidence in Manipur 
-
 
8th June, 2010
 
 
As per media report landslides tri
ggered by heavy rains on 8th June 2010 along NH
-
53 at Irang, 
Awang Khul and at a spot located about 4 kms from Noney, near Irang, Manipur have suspended 
traffic along the highway. Around 50 mm rainfall was recorded at Imphal. Another landslide on 8th 
June 
at Khumji village, Tamenglong District, Manipur destroyed one residential unit. ",08-06-2010,"Imphal, Lamphelpat, Imphal West, Manipur, 795001, India",24.7991162,93.9364419,795001
74,"Landslide Incidence in Jammu & Kashmir 
-
 
4th June, 2010
 
 
",04-06-2010,"Jammu, Jammu District, Jammu and Kashmir, 180001, India",32.7185614,74.8580917,180001
75,"2
 
| 
C
ompiled by 
GSI
 
 
As per PTI report a landslide on 4th June 2010, in Baramulla district of north Kashmir led to the injury 
of one B
SF consatable. ",04-06-2010,.,0,0,
76,"Landslide incidence in Assam 
-
 
3rd June, 2010
 
 
As per media report a mudslide at 5 AM on 3rd June 2010, on the foothills at Rongpur village under 
Bhairabhnagar panchayat in Karimganj district, Assam left 
two persons dead and five others injured. ",03-06-2010,.,0,0,
77,"Landslide Incidence in Sikkim 
-
 
31st May, 2010
 
 
As per media reports a landslide on 31st May 2010, cut off the road connecting Tsomgo and Nathula 
in Sikkim. The landslide has cut off road link between the sta
te capital and North Sikkim district. The 
stranded tourists on the Jawaharlal Nehru Road have been rescued. The alternative highway to 
North Sikkim via Singtam in East Sikkim was also blocked at various places due to multiple landslides 
on 31st May. The Ea
st Sikkim district has experienced 100 mm rain since Sunday, 30th May 2010. ",31-05-2010,.,0,0,
78,"Landslide Incidence in Jammu & Kashmir 
-
 
27th May, 2010
 
 
As per media report a school bus with 15 children on board while on way to the Army 
Goodwill 
School at Tyakshi in Turtuk area of Nubra valley close to the Line of Control (LoC) was trapped in a 
major landslide at about 9.45 am on May 27, 2010. Army personnel evacuated the school children 
trapped in the landslide. ",27-05-2010,"Jammu, Jammu District, Jammu and Kashmir, 180001, India",32.7185614,74.8580917,180001
79,"Landslide incidence 
in Jammu & Kashmir 
-
 
25th May, 2010
 
 
As per media report landslides struck Chadiyan village located on a mountainous slope near the 
border town of Uri in Baramulla district, Jammu & Kashmir on the evening of 25th May 2010, 
damaging several houses. Over 10
0 people were rescued by the police. ",25-05-2010,"Jammu, Jammu District, Jammu and Kashmir, 180001, India",32.7185614,74.8580917,180001
80,"Landslide incidence in Sikkim 
-
 
20th May, 2010 
 
As per PTI report landslides were reported in Sikkim at Yaksha, 10 km from Lachung to Yumthang, 
and between Lachen
-
Gurudongmar lake route on 20th May 2010. ",20-05-2010,.,0,0,
81,"Land
slide incidence in Jammu & Kashmir 
-
 
20th May, 2010 
 
As per PTI report an army jawan died after being hit by a heavy boulder during a landslide on 20th 
May 2010 near Siachen base camp Nobra, about 500 kms from Srinagar, in Leh district of Jammu 
and Kashmi
r. ",20-05-2010,"Tulip Gardens, Tulip Garden Road, Srinagar, Srinagar (South), Srinagar District, Jammu and Kashmir, 191121, India",34.096705,74.88075472,191121
82,"Landslide incidence in Andhra Pradesh 
-
 
19th May, 2010 
 
As per media report four people were killed in a landslide, triggered by heavy rain (about 32 cm) on 
account of cyclone Laila, near the city of Vijaywada on the night of 20th may 2010. ",19-05-2010,.,0,0,
