,State,District,Toposheet,Name of the slide,NH/SH Locality,Latitude,Longitude,Length,Width,Height,Area,Depth,Volume,Run out distance,Type of Material,Type of Movement,Rate of Movement,Activity,Distribution,Style,Failure Mechanism,History,Geomorphology,Structure,Land useLand cover,Hydrological condition,Triggering Factor ,Death of Persons,People Affected,Live-stock loss,Infrastructure,Agriculture/forest/Barren,Remarks,Description,Landslide category,Date,Address,"Latitude,Longitude",Pin code
10,Nagaland,Wokha,83J03,Bhandari landslide,Wokha-Merapani Road,26⁰ 16′ 35.3″ N,94⁰ 07′ 54.3″ E,85 m,110 m,25 m,9350 m2,6m,46750 m3,30m,Sandy Soil,Slide,Moderate,Active,Retrogressive,Single,Deep rotational failure,"Initiated in July, 2017, reactivated in 2018 and 2019",Lowly dissected slope,,Moderate vegetation,Damp,Rainfall,,,,,Forest,,Attached,II,,,,
11,Nagaland,Dimapur,83G13,NIT Campus landslide,"NIT, Nagaland","25°40'54.34""N","94°4'5.23"" E",35 m,70 m,12 m,,14m,,10m,Soil,Slide,Moderate,Active,Retrogressive,Single,Rotational,Initiated on 26/10/2019,Colluvial Foot Slope,,Settlement,Wet,Anthropogenic,,,,"70m boundary wall damaged, 2 NIT Building
damaged",Barren,,,,,,,
12,Assam,Kamrup Metro,78N12,Bezbaruah Nagar slide,"Nilachalpur, Bezbaruah Nagar",26° 09' 29.0''N,91° 42' 45.3''E,7m,14m,6m,98 m2,0.5 m,49 m3,3m,Debris,Translational Slide,Rapid,Active,Retrogressive,Single,Shallow planar ,"Incidence occurred on 16th of July, 2019. The wall was
constructed during 1972.","The affected area is located on the northern down-slope of a
residual hill (Fastasil) surrounded by Brahmaputra flood plains",Not exposed,Settlement in hills,Wet,Rainfall,,12,,2 houses,Settlement,"Cracks have developed on the floor of the house situated above
the boundary wall; hence the residents are advised to avoid
using the portion of the house affected by the slide as more
failure can be expected.","The 47 years old boundary/guard wall of approx. 2 m height
was constructed vertically and although weep holes were
observed in the unaffected portion of the wall, it is inferred that
the weep holes in the affected walls were clogged over a period
of time. Seepage of rain water through the cracks and fissures
developed on the ground above the wall resulted in
development of pore pressure and ultimate failure of the wall.
Two room of a house downslope of the wall has been
completely damaged by the collapsed wall and it is advised to
relocate the building further away from the slope.",II,18.07.2019,,,
13,Assam,Kamrup Metro,78 N/12,Katahbari slide,"Katahbari, Garchuk,Near Bethany High school"," 26°07'5.4"" N","91°42'47.9"" E",20 m,6 m,15 m,120 m2,2 m,240 m3,0.5 m,Rock,Side,Very Rapid,Active,Advancing,Single,Shallow translational,,Moderately dissected hill slope,No geological structures exposed.,Settlement with extensive slope cut,Damp,Rainfall,1,3,,One concrete house with tin roof got buried,Moderately forested,"Chances of further slope failures are evident as the crown area still remains unstable and
there are many houses situated on the upslope area near the slide. Without any effective
plans for preventive measures slope material is quite poor for any constructional
activities especially during monsoon season. Rainfall data for East and North East India
region as whole was taken into consideration for rainfall analysis in the study area. In
month 1st June, 2019 to 12th July, 2019 the actual rainfall distribution in Assam state is
539.7mm and the Kamrup (M) district received rainfall of 374.9mm. (Source: India
Meteorological Department).","The landslide occurred on 10th July 2019 around 8:30 AM which unfortunately claimed
a life of a 50 year old man. The wife and daughter of the deceased were injured and
their Assam type concrete house was entirely damaged. The site has not witnessed
similar incidences in the past. The slide is a shallow translational debris slide caused
due to unplanned cutting of slope for house construction triggered by incessant rainfall.
Due to incessant rainfall the weak overburden material comprising of thick column of
in-situ soil and highly weathered rock mass (W4) resting on already destabilized slope
got over saturated and lost its cohesive strength.
As a preventive measure the land use pattern around this hill should be strictly
monitored. Any heavy constructional activities/load on slope face without expert
supervision must be completely avoided. Five kaccha houses and one concrete house
situated on the up slope area near the slide are at risk especially during monsoon season.
It is also observed that a retaining wall of about 2 to 3 m height is constructed at the toe
of the slope cut, however, it is not serving much to mitigate the possible hazard posed
by the combined load of thick overburden material of about 10 m or even more on the
vulnerable slope and the RCC structures built on the upslope portion. Small scale
mining has been carried out just 150m east of the landslide site but the authorities has
ordered and stopped the earth-cutting in the area and have advised the people to relocate
by demarcating the area prone to landslide. Necessary remedial measures should be
taken up immediately in order to mitigate any further damage or loss of life as chances
of more slope failures are prevalent in the vicinity.",III,,,,
14,Assam,Kamrup Metro,78 N/12,Matia pahar slide,"Natun Basti, Matia Pahar, Dipar Bil","26°06'21.3"" N","91°37'22.2"" E",35 m,32 m,25 m,1120 m2,2 m ,2240 m3,6 m ,Rock,Slide,Very Rapid,Reactivated,Widening,Single,Shallow translational ,Small scale failure have happened two years before.,Moderately dissected hill slope,"Three random joint sets are observed, the prominent one being along 065˚/68˚ 165˚",Settlement with extensive slope cut,Damp,Rainfall,,5,,Two concrete houses with tin roof got buried ,Moderately forested,"Chances of further slope failures are evident as the crown area still remains unstable.
Without any effective plans for preventive measures slope material is quite poor for any
constructional activities especially during monsoon season. Rainfall data for East and
North East India region as whole was taken into consideration for rainfall analysis in the
study area. In month 1st June, 2019 to 12th July, 2019 the actual rainfall distribution in
Assam state is 539.7mm and the Kamrup(M) district received rainfall of 374.9mm.
(Source: India Meteorological Department).","The landslide occurred on 10th July 2019 around 8:00 AM which unfortunately injured a 28
year old man. In total five persons were affected and two Assam type concrete house was
entirely damaged. The site has witnessed similar incidences in the past but of very
negligible scale. The slide is a shallow translational debris slide caused due to unplanned
cutting of slope for house construction triggered by incessant rainfall. Due to incessant
rainfall the weak overburden material comprising of highly weathered rock mass (W4)
resting on already destabilized slope got over saturated and lost its cohesive strength.
As a preventive measure the land use pattern around this hill should be strictly monitored.
Any heavy constructional activities/load on slope face without expert supervision must be
completely avoided. Five kaccha houses are situated on the down slope area near the slide
are at risk especially during monsoon season. Necessary remedial measures should be
taken up immediately in order to mitigate any further damage or loss of life as chances of
more slope failures are prevalent in the vicinity",III,,,,
15,Mizoram,Aizawl,84 A/09,BSUP Landslide,"BSUP Colony, Durtlang Leitan Veng, Durtlang",22° 52´24.81″ N,920 45′ 21.43″ E,61 m,56 m,48 m,3416 m2,5 m,432768 m3,0 m,Rock,Slide,Rapid,Active,Enlarging,Single,Translational failure,Movement happened on 02.07.2019 at 18:30hrs,Highly dissected slope,"J1 220°/82°→150°, J2 parallel to S0 307°/26°→37° and J3
130°/86°→40°","Settlement, jhum, chayote garden, and sparse vegetation upslope of the
landslide and settlement on extensive slope cut on the downslope of the
slide.",Wet,Rainfall,3,27,,"Three pukka house destroyed by the debris. The houses on either side of
the slide have been evacuated. The retaining wall for below the road for
the second row of houses has some cracks due to the impact of the
damaged houses.",Some terraces for food crops and a chayote garden damaged.,"Though the slide is a small slide, due to the extremely rapid rate of
movement and the time at which it occurred i.e. 18:30 hrs which is dinner
time for most families in Mizoram, it has taken the lives of 3 people and
injuries to 9 persons as well as leaving 18 families homeless.","The BSUP Durtlang slide, though it is a small slide is a devastating slide.
It has caused the death of 3 persons, 9 injured and left 18 families
homeless. It has also cause extensive damage to infrastructure. The
landslide is anthropogenic landslide because the failure is due to
culmination of improper drainage practices from houses and road upslope,
destabilization of slope by extensive slope cut using heavy machineries
and explosives for construction of housing complex and construction of
retaining wall with blocked and non-functioning weepholes which led to
over saturation of overburden and seepage of water into the joints and
cracks of the bedrock. It highlights the need for awareness in the Mizo
society to practice safe and proper disposal of domestic discharge and
better methods for protection of slopes.",Red.,,,,
16,Sikkim,East District,78A/11,Sang,NH10A/ Gangtok-Siliguri Highway,27°15’05.0.9’’N,88°31’529’’E,25 m,10 m,20-22 m,250 m2,1-1.5 m,1650 m3,,Phyllitic schist,Transportational,Rapid,Not active now,Non-advancing,Single,Wedge failure and Pore water pressure,New,"Slope > 70°, No Overburden(<0.5)","Foliation plane is 115°/36° 20°
Joint (approximately NW-SE/55°NE)",Sparsely vegetated,Damp,Rainfall and Wedge formation,,,Local People,road,Few houses in the vicinity of the landslide but not affected.,"a) Rock bolting
b) Anchored mesh-wire",Attached with the Preliminary note,III,,,,
17,Nagaland,Dimapur,83F/16,Zhekhise Slide,Niuland,26.07256,93.928,10 m,100 m,5 m,1000 m2,2 m,5000 m3,,Sandy Soil,Slide,Moderate,Active,Retrogressive,Single,"Toppling, Shallow planar failure",No data available,Alluvial plain,,Cultivated land and village road,Wet,Rainfall,,,,Road damaged,Agriculture,,,II,,,,
18,Sikkim,East District,78A/11,"Palzor Stadium road, Gangtok","Near Tamang Monastery, Palzor Stadium road, Gangtok ","27o
20’17.7’’N","88o
36’32.8’’E",45 m,25 m,40 m,1125 m2,5 m,5625 m3 ,10 m,Debris ,Slide,Rapid to Moderate,Active,Advancing and widening ,Single,Shallow translational ,Date of initiation: 23/04/2019 at 5 AM,"The affected area is having steep slope within the urban
settlements.","Following trends have been identified in the rocks:
Foliation: 160˚/40˚→ E
Joint Planes: J1: 250˚/48˚→SS E",Sparse bamboo trees within urban settlements. ,Area is damp with dripping at few spots.,Over saturation of distressed material in rainy season,Nil,,,,,,,III,,,,
19,Assam,Kamrup,78N/16,Shankardev Nagar slide,NH-37 towards Shillong.,,,1.5 m,2.5 m,1.2 m,3.75 m2,0.5 m,1.87 m3,1-2 m,Debris,Slide,Rapid,Active,Enlarging,Single,Shallow planar failure,Nil,"The area is nearly flat surrounded by moderately dissected hillocks in
the vicinity. The slope forming material was mainly weathered rocks,
which were artificially transported as dump material.",Not observed,Settlement,Dry,Rainfall,1,10,,House Damaged,N.A.,,,,,,,
20,Rajasthan,Jaipur,45N/13,"Amagarh Slide, Transport Nagar ",National Highway (NH-8),26.90856° ,75.84933° ,70-75 m ,40 m ,45-50 m,2000 m2,3m,6000 m3,20 m ,Rock ,Slide and Fall ,Rapid ,Suspended ,Retrogressive ,Composite ,Deep planar failure ,"At 3.30 pm, 19th
 August, 2018 ","The area is characterized by undulatory topography with
prominent NNE-SSW to NE-SW trending parallel ridges. ","J1 (BJ):N30°E-S30°W/42° towards northwest, J2: EW/vertical and J3: N30°E-S30°W/35° towards southeast.",Forest/Barren land due to quarrying ,Wet,Rainwater Percolation,1,6,"4-5 goats and dogs were buried under the rock
boulders. ",10-12 houses damaged. ,Forest (slope barren),"Local residents should be advised to remain vigilant
particularly during rainy season","A slide of 70-75 m length, 40 m width and 50 m height in
Amagarh, Transport Nagar, Jaipur took place at 3.30 pm,
19th August, 2018. The litho-units exposed in and around the
slide are fresh to slightly weathered, off white to light pink to
gray color quartzite of Pratapgarh Formation belonging to
Alwar Group of Delhi Super Group. The litho-units exposed
at the site are dissected by three sets of joints. These joints
are J1 (BJ): N30°E-S30°W/42°→NW, J2: E-W/vertical and
J3: N30°E-S30°W/35°→SE. Slide/fall has occurred along
bedding parallel joint (J1) towards north-west, during heavy
spell of rainfall which indicates that percolation of water
along bedding joint (J1) has triggered the movement. ",,,,,
21,Karnataka,Kodagu,"12° 26' 52.920"" N","75° 25' 16.190"" E",48P07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Himanchal Pradesh,Solan,53F/1,NH-22/ RD: 87+480,"NH-22/ RD: 87+480/3km away from Kumarhatti to
Chandigarh on Shimla-Chandigarh Road.",30˚ 53.479' ,77˚02.587' ,16 m,25 m,15 m,,Shallow,,6 m,Debris,Slide,Moderate,Active,Retrogressive,Single,Shallow translational,Active (During the Monsoon of 2018),Moderately Dissected Hill,"Three Sets of Joints: J1(Bedding Plane):30
0
/N2500,
J2:40-50
0
/N1350
, J3: 45-500
/N1350","Forest/Anthropogenic activity, sparsely vegetated.",Dry,Road Cutting,,,,No damage,Sparsely vegetated,,"Slide is a shallow translational slide and is active state
Rock mass is jointed. Three main discontinuities are
J1(Bedding Plane):30
0
/N2500, J2:40-50
0
/N1350
, J3: 45-
500
/N1350
.Lithologically the slide comprises thickly
bedded, alternate mudstone and sandstone bands of ",,,,,
